username,remaining_kudos,organization,message
user1,3,Mitratech,Thanks for your help!
user2,3,Mitratech,Great teamwork!
user3,3,Mitratech,Keep up the good work!
user4,3,Mitratech,You make a difference!
user5,3,Mitratech,Awesome effort!
user6,3,Mitratech,Your dedication is inspiring!
user7,3,Mitratech,Great collaboration!
user8,3,Mitratech,You’re an asset to the team!
user9,3,Mitratech,Thanks for always going the extra mile!
user10,3,Mitratech,Fantastic job!
user11,3,AnotherOrg,Keep it up!
user12,3,AnotherOrg,You're doing amazing work!
user13,3,AnotherOrg,Impressive performance!
user14,3,AnotherOrg,Great job on the project!
user15,3,AnotherOrg,Your input is invaluable!
user16,3,AnotherOrg,Awesome to have you on the team!
user17,3,AnotherOrg,Keep pushing boundaries!
user18,3,AnotherOrg,Your work speaks for itself!
user19,3,AnotherOrg,Thanks for always bringing your A-game!
user20,3,AnotherOrg,You're making a big impact!
user21,3,TechCorp,Thanks for the quick response!
user22,3,TechCorp,Excellent work on the project!
user23,3,TechCorp,Appreciate your dedication!
user24,3,TechCorp,Your contributions are highly valued!
user25,3,TechCorp,Great work ethic!
user26,3,TechCorp,Your insights are always valuable!
user27,3,TechCorp,Thanks for your efforts!
user28,3,TechCorp,You’re a key player on this team!
user29,3,TechCorp,Your creativity is inspiring!
user30,3,TechCorp,Thanks for always going above and beyond!
user31,3,InnovateInc,Great initiative on the new project!
user32,3,InnovateInc,Your ideas make a huge difference!
user33,3,InnovateInc,Keep up the great work!
user34,3,InnovateInc,Your solutions are always spot on!
user35,3,InnovateInc,Awesome problem-solving skills!
user36,3,InnovateInc,Thanks for your innovative thinking!
user37,3,InnovateInc,Your leadership is inspiring!
user38,3,InnovateInc,Keep up the amazing work!
user39,3,InnovateInc,You’re a vital part of the team!
user40,3,InnovateInc,Your attention to detail is outstanding!
user41,3,NextGenTech,Thanks for your consistent hard work!
user42,3,NextGenTech,Your focus on quality is impressive!
user43,3,NextGenTech,Keep up the excellent work!
user44,3,NextGenTech,Your teamwork makes all the difference!
user45,3,NextGenTech,Thanks for always delivering results!
user46,3,NextGenTech,You bring great energy to the team!
user47,3,NextGenTech,Your ideas always drive us forward!
user48,3,NextGenTech,Thanks for your proactive approach!
user49,3,NextGenTech,Great work under pressure!
user50,3,NextGenTech,You're making a real impact!
